testID,key,score
1979385,21929,0
1979385,15474,0
1979385,23934,0
1979385,21327,0
1979385,21946,0
1979385,14976,0
1979385,23939,1
1979385,24035,0
1979385,21963,1
1979385,16644,1
1979385,21299,0
1979385,24010,0
1979385,22141,0
1979385,23944,1
1979385,21982,0
1979385,21373,0
1979385,23946,0
1979385,21344,0
1979385,14542,0
1979385,16642,1
1979385,14866,0
1979385,24051,0
1979385,15570,0
1979385,16709,1
1979385,14721,0
1979385,15437,0
1979385,21601,0
1979385,14636,0
1979385,23978,1
1979385,23989,1
1979385,14494,0
1979385,23994,1
1979385,15251,1
1979385,15380,1
1979385,15194,0
1979385,21464,0
1979385,15542,0
1979385,15002,0
1979385,15314,0
1979385,14609,0
1979385,15198,1
1979385,24021,0
1979385,14972,0
1979385,15284,0
1979385,21898,0
1979385,15543,0
1979385,15179,0
1979385,21973,1
1979385,21342,0
1979385,24005,0
1979385,21949,0
1979385,23933,0
1979385,21984,0
1979385,23947,0
1979385,21303,0
1979385,15433,1
1979385,15396,0
1979385,21266,0
1979423,23936,0
1979423,15474,1
1979423,21926,0
1979423,21965,0
1979423,23970,0
1979423,14976,0
1979423,24055,0
1979423,22140,0
1979423,24039,0
1979423,16644,0
1979423,23921,1
1979423,24007,0
1979423,24009,1
1979423,23937,1
1979423,21338,0
1979423,24049,1
1979423,21952,0
1979423,24041,1
1979423,21273,0
1979423,16642,1
1979423,14866,0
1979423,22000,0
1979423,15570,0
1979423,16709,0
1979423,14721,0
1979423,15437,0
1979423,21601,0
1979423,14636,1
1979423,23978,1
1979423,21320,0
1979423,14494,1
1979423,23994,1
1979423,15251,1
1979423,15380,0
1979423,15194,1
1979423,21464,0
1979423,15542,0
1979423,15002,0
1979423,15314,0
1979423,14609,1
1979423,15198,0
1979423,21970,0
1979423,21900,1
1979423,15284,1
1979423,21898,0
1979423,15543,1
1979423,15179,0
1979423,21973,0
1979423,24004,1
1979423,24085,0
1979423,21972,1
1979423,15568,1
1979423,21984,0
1979423,21698,0
1979423,21976,1
1979423,15433,0
1979423,15396,1
1979423,22011,1
1979573,21921,1
1979573,15474,1
1979573,21295,0
1979573,21935,0
1979573,23930,1
1979573,14976,0
1979573,21313,0
1979573,14811,0
1979573,21963,0
1979573,16644,0
1979573,23940,1
1979573,21931,1
1979573,21975,0
1979573,21298,1
1979573,21330,0
1979573,24069,0
1979573,22143,1
1979573,22016,0
1979573,21332,1
1979573,16642,0
1979573,14866,0
1979573,21471,0
1979573,15570,1
1979573,16709,1
1979573,14721,1
1979573,15437,1
1979573,21601,0
1979573,14636,0
1979573,23978,1
1979573,15591,0
1979573,14494,1
1979573,23994,1
1979573,15251,1
1979573,15380,1
1979573,15194,0
1979573,21464,0
1979573,15542,0
1979573,15002,0
1979573,15314,0
1979573,14609,0
1979573,15198,1
1979573,24037,0
1979573,21265,0
1979573,15284,0
1979573,21898,0
1979573,15543,1
1979573,15179,0
1979573,21964,0
1979573,24008,0
1979573,23925,0
1979573,21911,0
1979573,24047,0
1979573,21984,0
1979573,21318,0
1979573,21976,0
1979573,15433,0
1979573,15396,1
1979573,21297,1
1981817,23936,0
1981817,15474,0
1981817,21926,0
1981817,21965,0
1981817,23970,0
1981817,14976,0
1981817,24055,0
1981817,22140,0
1981817,24039,0
1981817,16644,1
1981817,23921,0
1981817,24007,0
1981817,24009,0
1981817,23937,0
1981817,21338,0
1981817,24049,1
1981817,21952,0
1981817,24041,0
1981817,21273,0
1981817,16642,1
1981817,14866,0
1981817,22000,0
1981817,15570,1
1981817,16709,0
1981817,14721,0
1981817,15437,1
1981817,21601,0
1981817,14636,0
1981817,23978,0
1981817,21320,0
1981817,14494,0
1981817,23994,0
1981817,15251,0
1981817,15380,0
1981817,15194,0
1981817,21464,0
1981817,15542,1
1981817,15002,0
1981817,15314,0
1981817,14609,0
1981817,15198,0
1981817,21970,0
1981817,21900,0
1981817,15284,0
1981817,21898,0
1981817,15543,0
1981817,15179,0
1981817,21973,0
1981817,24004,0
1981817,24085,0
1981817,21972,0
1981817,15568,0
1981817,21984,0
1981817,21698,0
1981817,21976,0
1981817,15433,0
1981817,15396,0
1981817,22011,0
1982850,23936,1
1982850,15474,1
1982850,21926,0
1982850,21965,0
1982850,23970,0
1982850,14976,0
1982850,24055,0
1982850,22140,0
1982850,24039,1
1982850,16644,1
1982850,23921,1
1982850,24007,0
1982850,24009,1
1982850,23937,0
1982850,21338,0
1982850,24049,0
1982850,21952,1
1982850,24041,0
1982850,21273,0
1982850,16642,1
1982850,14866,0
1982850,22000,0
1982850,15570,0
1982850,16709,1
1982850,14721,0
1982850,15437,0
1982850,21601,0
1982850,14636,0
1982850,23978,1
1982850,21320,0
1982850,14494,0
1982850,23994,1
1982850,15251,0
1982850,15380,1
1982850,15194,1
1982850,21464,0
1982850,15542,0
1982850,15002,0
1982850,15314,0
1982850,14609,0
1982850,15198,1
1982850,21970,1
1982850,21900,0
1982850,15284,0
1982850,21898,0
1982850,15543,0
1982850,15179,0
1982850,21973,0
1982850,24004,0
1982850,24085,0
1982850,21972,0
1982850,15568,1
1982850,21984,0
1982850,21698,0
1982850,21976,0
1982850,15433,0
1982850,15396,0
1982850,22011,0
